Rk,Player,Pos,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,cluster
283,T.J. Leaf,PF,25,193,13.8,0.485,0.203,0.174,12.1,24.4,18.3,4.3,2.0,1.4,8.6,18.5,0.0,0.3,0.4,0.08800000000000001,-1.4,-0.1,-1.5,0.0,0
285,Courtney Lee,SG,24,345,10.9,0.629,0.573,0.085,2.2,7.4,4.9,4.7,2.5,1.5,11.4,11.9,0.3,0.4,0.7,0.098,-2.1,1.6,-0.5,0.1,8
286,Damion Lee,SG,49,1423,12.7,0.5479999999999999,0.46799999999999997,0.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19.0,0.9,0.8,1.7,0.057999999999999996,-1.5,-0.8,-2.3,-0.1,8
287,Alex Len,C,49,895,18.0,0.596,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,1.4,0.9,2.3,0.122,-0.2,-0.2,-0.5,0.3,5
288,Kawhi Leonard,SF,51,1643,26.7,0.585,0.287,0.344,3.3,19.7,11.7,27.0,2.6,1.7,10.7,33.2,4.6,3.0,7.6,0.222,6.5,2.5,9.0,4.6,1
289,Meyers Leonard,C,49,987,11.1,0.64,0.534,0.11699999999999999,3.2,24.1,14.1,7.7,0.6,1.5,13.0,12.0,1.0,1.1,2.1,0.10400000000000001,-1.0,0.4,-0.6,0.3,0
290,Caris LeVert,SG,39,1131,15.1,0.509,0.31,0.264,3.7,10.6,7.2,23.5,1.8,0.5,12.6,28.8,-0.1,1.2,1.2,0.05,0.1,-0.7,-0.6,0.4,7
291,Damian Lillard,PG,58,2140,26.2,0.619,0.493,0.377,1.5,10.5,6.1,34.1,1.3,0.8,11.0,30.2,8.9,0.7,9.6,0.215,7.9,-0.7,7.2,5.0,7
292,Nassir Little,PF,48,573,9.7,0.505,0.391,0.29100000000000004,5.7,13.7,9.8,5.1,1.1,2.1,8.1,13.7,0.3,0.3,0.6,0.05,-2.9,-0.6,-3.5,-0.2,6
293,Kevon Looney,C,20,262,9.4,0.40299999999999997,0.177,0.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,0.0,0.005,-4.8,-0.8,-5.5,-0.2,6
294,Brook Lopez,C,61,1622,14.0,0.537,0.49700000000000005,0.212,2.7,13.2,8.3,7.8,1.2,8.0,9.2,17.5,0.8,3.9,4.6,0.13699999999999998,-1.1,2.8,1.8,1.5,6
295,Robin Lopez,C,60,862,11.1,0.565,0.35200000000000004,0.158,6.3,10.2,8.4,6.4,0.5,4.1,15.6,16.6,0.2,1.5,1.7,0.095,-2.4,0.5,-1.9,0.0,6
296,Kevin Love,PF,56,1780,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.2,3.8,0.102,2.6,-0.6,2.1,1.8,0
