Rk,Player,Pos,Tm,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
447,Omari Spellman,PF,GSW,49,886,14.4,0.551,0.373,0.312,9.1,18,13.4,8.1,1.8,2.4,13.9,18.8,0.5,0.7,1.2,0.065,-0.7,-1,-1.7,0.1
449,Edmond Sumner,PG,IND,25,345,10,0.485,0.342,0.135,3.2,8.6,5.9,15.4,2.1,2,13.9,17.4,-0.1,0.4,0.3,0.039,-3.6,0.4,-3.1,-0.1
450,Caleb Swanigan,PF,TOT,27,288,7.6,0.597,0.043,0.362,9.9,26.1,18.1,14,0.5,2.1,40.4,13.5,-0.2,0.2,0,0.007,-6.3,0.2,-6,-0.3
451,Jayson Tatum,PF,BOS,59,2043,20.3,0.562,0.377,0.251,3,18.8,11,14,2,2.4,9.7,28.6,2.9,3.4,6.2,0.147,3.3,0.6,3.9,3
452,Jeff Teague,PG,TOT,59,1464,14.6,0.557,0.239,0.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,1.9,0.6,2.5,0.082,-0.2,-1.3,-1.5,0.2
453,Garrett Temple,SG,BRK,55,1547,10.3,0.507,0.66,0.139,1.9,10.5,6.3,13.1,1.3,1.4,9.3,16.6,0.5,1.6,2.1,0.065,-1.5,0.4,-1.1,0.4
454,Daniel Theis,C,BOS,58,1382,18.2,0.629,0.212,0.277,10.2,19.2,14.7,9.9,1.2,5,10.1,14.7,3.6,2.3,5.9,0.205,0.4,1.8,2.3,1.5
455,Isaiah Thomas,PG,WAS,40,925,11.6,0.531,0.444,0.178,1.3,7,4,23.2,0.7,0.6,14.4,24.1,0.2,-0.1,0,0.001,-0.5,-3.9,-4.4,-0.6
457,Matt Thomas,SG,TOR,33,321,13.6,0.65,0.676,0.09,2.4,13.2,7.9,7.9,1.2,0,9.4,17,0.5,0.4,0.9,0.137,1,0.4,1.4,0.3
458,Tristan Thompson,C,CLE,57,1721,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14,18.3,2,1.1,3.1,0.085,-0.2,-1.3,-1.5,0.2
459,Matisse Thybulle,SG,PHI,57,1110,9.8,0.53,0.607,0.175,3.5,5.1,4.3,8.3,3.5,3.1,15.1,11.6,0.1,1.8,1.9,0.084,-3,3.1,0.1,0.6
460,Anthony Tolliver,PF,TOT,47,732,6.6,0.497,0.781,0.161,4.3,14.5,9.5,5.7,1,1.3,15.3,11.4,-0.1,0.4,0.3,0.018,-3.1,-0.7,-3.8,-0.3
462,Karl-Anthony Towns,C,MIN,35,1187,26.5,0.642,0.445,0.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,3.8,1.3,5.1,0.205,7,0.8,7.8,2.9
463,Gary Trent Jr.,SG,POR,53,1059,11.8,0.555,0.574,0.103,2,6.6,4.3,6.5,1.8,1,4.9,15.4,1.2,0.4,1.6,0.071,-0.5,-0.6,-1.1,0.3
464,Allonzo Trier,PG,NYK,24,291,14.5,0.62,0.5,0.406,2.1,8.7,5.3,14.8,0.5,1.3,15,21.4,0.5,0.1,0.5,0.087,1,-1.5,-0.5,0.1
465,P.J. Tucker,PF,HOU,64,2203,8.7,0.58,0.687,0.118,4.8,16.2,10.5,5.9,1.5,1.2,14.6,8.6,1.8,2.2,3.9,0.086,-2.2,0.6,-1.6,0.2
468,Myles Turner,C,IND,55,1628,14.7,0.561,0.443,0.279,4.8,19.5,12.2,5.1,1.3,6.5,10.5,17.5,1,2.8,3.7,0.111,-0.9,1.1,0.2,0.9
470,Jonas Valančiūnas,C,MEM,62,1630,22.3,0.631,0.12,0.256,12.5,31.9,22.4,10.2,0.7,3.7,12.8,21.4,3.8,2.4,6.2,0.182,2.2,0,2.3,1.8
471,Denzel Valentine,SF,CHI,36,488,13,0.511,0.578,0.034,1.9,15.5,8.4,14.2,2.6,1.2,9.8,23.3,-0.1,0.6,0.5,0.048,-0.7,0.2,-0.5,0.2
473,Fred VanVleet,PG,TOR,48,1719,16,0.546,0.482,0.237,1.1,9.7,5.5,27.4,2.5,0.7,12.4,22,2.2,2.7,4.9,0.136,1,1.3,2.3,1.8
475,Noah Vonleh,C-PF,TOT,33,364,15.6,0.621,0.169,0.337,10.4,25.9,17.9,10.7,1.4,1.4,17,14,0.6,0.4,1,0.126,-1.2,0.3,-0.8,0.1
476,Nikola Vučević,C,ORL,54,1763,21.6,0.54,0.274,0.16,7.6,29.4,18.1,20,1.3,2.4,7.3,25.8,2.9,2.6,5.5,0.15,3.4,0.6,4,2.7
478,Moritz Wagner,C,WAS,37,707,16.6,0.666,0.294,0.36,7.6,22.8,14.9,10.1,1.5,2.1,17.2,18.8,1.3,0.5,1.8,0.122,-1.2,-0.3,-1.6,0.1
480,Kemba Walker,PG,BOS,50,1592,20.2,0.569,0.526,0.27,2.2,11.4,6.9,24.6,1.4,1.5,10.3,27.8,3.5,1.9,5.4,0.163,5,-0.2,4.7,2.7
481,Lonnie Walker,SG,SAS,53,767,11,0.515,0.266,0.199,2.8,13.4,8.1,8.4,1.8,1.5,9.6,18.2,0,0.5,0.5,0.028,-2.5,-0.7,-3.2,-0.2
483,Taurean Prince,SF,BRK,64,1857,9.2,0.497,0.583,0.12,2.8,17.9,10.6,9.3,1.5,1.1,14,20.4,-1.7,2.4,0.7,0.019,-2.9,-0.1,-3,-0.5
484,Derrick Walton,PG,TOT,26,248,8.7,0.617,0.615,0.231,0.9,5.7,3.4,13.9,1.4,0,10.4,8.1,0.4,0.2,0.6,0.112,-2.3,1.3,-1.1,0.1
485,Brad Wanamaker,PG,BOS,63,1215,11.8,0.56,0.283,0.365,1.7,9.2,5.5,17.6,2.1,0.9,15.9,15.4,1.2,1.5,2.7,0.108,-2.5,1.2,-1.3,0.2
486,T.J. Warren,SF,IND,61,1984,17.2,0.599,0.212,0.214,3.4,10,6.7,6.8,1.7,1.2,7.5,22.8,3.1,2.2,5.3,0.129,0.4,-0.2,0.2,1.1
487,P.J. Washington,PF,CHO,58,1759,12.4,0.547,0.39,0.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.4,2,0.054,-1.7,0.1,-1.6,0.2
492,Russell Westbrook,PG,HOU,53,1905,21.5,0.539,0.168,0.289,5.1,18.4,11.7,35,2.1,0.8,14.9,34.4,2.1,2.3,4.3,0.109,1.9,-0.1,1.8,1.8
493,Coby White,SG,CHI,65,1674,11.9,0.506,0.475,0.163,1.8,14,7.6,16.5,1.4,0.3,11.4,24.4,-0.4,1.4,0.9,0.026,-1.2,-1.6,-2.8,-0.3
494,Derrick White,SG,SAS,61,1468,15.9,0.585,0.345,0.377,2.2,12,7.1,19.5,1.3,3.3,12.2,18.2,2.5,0.9,3.4,0.11,0.7,0.2,0.9,1.1
495,Hassan Whiteside,C,POR,61,1911,25,0.641,0.01,0.333,13.4,33.4,23.6,6,0.6,8.3,13.1,19.8,5.1,3,8.1,0.204,2.5,0.7,3.2,2.5
496,Andrew Wiggins,SF-SG,TOT,54,1858,16.4,0.536,0.342,0.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.9,1.1,1.9,0.05,1.1,-1.5,-0.3,0.8
497,Grant Williams,PF,BOS,62,970,8,0.508,0.443,0.266,6.5,11.7,9.1,8.3,1.4,3.1,17.7,11.5,0.2,1.3,1.5,0.075,-4,1.4,-2.6,-0.1
499,Kenrich Williams,PF,NOP,35,779,7.6,0.43,0.671,0.168,6.6,17.5,12,8.3,1.5,2.2,12,9.2,0.1,0.8,0.8,0.052,-3.3,1,-2.3,-0.1
500,Lou Williams,SG,LAC,60,1757,17.2,0.546,0.334,0.365,1.7,9.1,5.5,29.9,1.1,0.5,14.4,28.3,2.2,1.7,3.9,0.107,2.1,-1.4,0.8,1.2
501,Marvin Williams,PF,TOT,52,1011,11.4,0.585,0.578,0.217,2.1,13.7,7.8,8,1.7,2.4,9.3,13,1,1,2.1,0.099,-1.7,1,-0.7,0.3
502,Robert Williams,C,BOS,23,323,19.6,0.671,0,0.403,11.4,24.3,17.9,9.5,3,8,21.5,12.3,0.6,0.8,1.4,0.205,-0.6,4.4,3.8,0.5
505,D.J. Wilson,PF,MIL,31,280,8.4,0.476,0.545,0.089,3.8,19.3,12,10.3,0.3,1.6,12.5,17.7,-0.2,0.5,0.3,0.055,-3.9,0.3,-3.6,-0.1
507,Christian Wood,PF,DET,62,1325,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12,23,3.6,1.5,5.1,0.184,3.5,-0.3,3.1,1.7
508,Delon Wright,SG,DAL,65,1412,16.1,0.563,0.307,0.236,5,14,9.6,21.2,2.6,1.3,13.9,14.8,2.6,1.8,4.3,0.148,0.4,2,2.4,1.6
510,Thaddeus Young,PF,CHI,64,1591,13.3,0.521,0.369,0.12,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,0.058,-1.4,0.2,-1.1,0.4
511,Trae Young,PG,ATL,60,2120,23.9,0.595,0.455,0.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.4,0.5,5.9,0.134,6.3,-2.3,4,3.2
512,Cody Zeller,C,CHO,58,1341,18.8,0.576,0.157,0.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.4,1.2,3.6,0.129,0.2,-0.8,-0.6,0.5
513,Ante Žižić,C,CLE,22,221,16.4,0.597,0,0.264,9,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,0.106,-1.7,-1.5,-3.2,-0.1
514,Ivica Zubac,C,LAC,64,1156,21,0.642,0.006,0.42,15.2,25.7,20.6,8.7,0.5,4.6,11.8,16.2,3.6,2,5.6,0.231,1.5,1,2.5,1
