Rk,Player,Pos,Tm,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
322,Alfonzo McKinnie,SF,CLE,40,593,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
323,Jordan McLaughlin,PG,MIN,30,590,16.3,0.587,0.427,0.219,1.2,7.8,4.4,31,2.7,0.6,13.7,15.8,1.2,0.4,1.6,0.13,0.4,-0.1,0.3,0.3
324,Ben McLemore,SG,HOU,63,1437,11.7,0.622,0.83,0.132,1.5,8.7,5.1,5.3,1.2,0.7,8.5,15.6,2.1,0.9,3,0.1,0,-0.7,-0.7,0.5
325,Jordan McRae,SG,TOT,37,784,14.2,0.515,0.344,0.298,2.4,15.4,8.7,17.7,1.3,1.8,9.4,24.4,0.4,0.3,0.7,0.043,0,-1.6,-1.5,0.1
326,Nicolò Melli,C,NOP,52,889,12.3,0.583,0.647,0.216,4.4,14.3,9.3,10.2,1.6,1.8,12.1,15.9,1,0.8,1.8,0.095,-0.9,0.3,-0.6,0.3
327,De'Anthony Melton,PG,MEM,52,1011,14.6,0.525,0.331,0.3,3.9,15.9,10,20.9,3,1.5,16.3,19.6,0.4,1.4,1.8,0.086,-1.6,1.8,0.3,0.6
329,Khris Middleton,SF,MIL,55,1653,21.4,0.619,0.374,0.231,2.5,17,10.2,21,1.4,0.4,10.8,26.2,4.3,3.1,7.4,0.214,3.4,0.9,4.4,2.7
332,Malcolm Miller,SF,TOR,25,125,4.7,0.432,0.792,0.25,0.9,10.8,5.9,8.3,1.5,1.5,10.1,10.1,-0.1,0.2,0.1,0.037,-4.3,1.4,-2.9,0
333,Patty Mills,PG,SAS,63,1430,14.7,0.589,0.675,0.188,1.4,6,3.7,11.3,1.7,0.4,7.6,20.5,2.1,0.5,2.6,0.086,1.1,-1.2,-0.1,0.7
334,Paul Millsap,PF,DEN,44,1075,17.7,0.598,0.282,0.326,9,17.9,13.5,9.5,1.7,2.4,12.1,20.3,2,1.4,3.4,0.151,0.6,0,0.6,0.7
